City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,loreto,22.2667,-101.9667,73.17,42,100,16.06,MX,1697407359
306,helena valley southeast,46.6153,-111.9216,74.21,55,53,2.68,US,1697407359
307,brezoi,45.338,24.2486,50.76,90,100,10.18,RO,1697407359
308,ocos,14.5094,-92.1933,84.38,72,33,4.29,GT,1697407360
309,trinity beach,-16.7888,145.6968,75.09,69,79,6.91,AU,1697407360
310,zhosaly,45.4878,64.0781,51.4,57,8,6.11,KZ,1697407360
311,mangrol,21.1167,70.1167,78.64,81,0,8.1,IN,1697407360
312,prieska,-29.6641,22.7474,66.22,33,56,17.43,ZA,1697407360
313,mthatha,-31.5889,28.7844,57.76,88,96,6.91,ZA,1697407361
314,santa cruz,-17.8,-63.1667,93.25,38,6,14.97,BO,1697407361
315,nagqu,31.5,92.0,25.75,92,63,2.93,CN,1697407164
316,uturoa,-16.7333,-151.4333,78.49,74,2,9.33,PF,1697407361
317,saint-philippe,-21.3585,55.7679,72.99,84,38,5.1,RE,1697407307
318,hamilton,39.1834,-84.5333,54.88,63,76,8.01,US,1697407214
319,kununurra,-15.7667,128.7333,60.78,77,58,1.14,AU,1697407362
320,madalena,41.2162,-8.3345,66.78,93,100,3.2,PT,1697407362
321,vilhena,-12.7406,-60.1458,89.82,48,20,2.3,BR,1697407363
322,serres,41.0856,23.5497,60.4,76,8,1.14,GR,1697407363
323,pemangkat,1.1667,108.9667,79.52,88,100,4.63,ID,1697407363
324,geraldton,-28.7667,114.6,73.81,15,79,12.66,AU,1697407363
325,magadan,59.5667,150.8,33.82,66,100,3.0,RU,1697407363
326,hammerfest,70.6634,23.6821,39.65,87,75,24.16,NO,1697407364
327,vanino,49.0869,140.2543,45.93,80,100,4.88,RU,1697407364
328,staryy sambir,49.4386,23.0006,41.36,81,68,4.68,UA,1697407364
329,chulym,55.0997,80.9572,36.86,77,38,6.91,RU,1697407364
330,praia da vitoria,38.7333,-27.0667,72.75,88,40,36.95,PT,1697407365
331,ballito,-29.539,31.2144,64.54,94,100,6.91,ZA,1697407365
332,bovril,-31.3431,-59.4451,78.91,42,63,9.57,AR,1697407365
333,nadi,-17.8,177.4167,80.6,65,40,16.11,FJ,1697407365
334,portland,45.5234,-122.6762,73.0,70,0,5.75,US,1697407345
335,igarka,67.4667,86.5833,34.12,100,100,1.61,RU,1697407366
336,aykhal,66.0,111.5,19.08,85,100,5.01,RU,1697407214
337,mutum biyu,8.6333,10.7667,78.71,79,82,5.06,NG,1697407366
338,grand baie,-20.0182,57.5802,70.45,75,26,7.0,MU,1697407366
339,baotou,40.6522,109.8222,51.22,41,4,3.98,CN,1697407367
340,el porvenir,13.7617,-87.3458,79.93,90,88,3.74,HN,1697407367
341,timbuktu,16.7735,-3.0074,90.75,12,23,9.06,ML,1697407367
342,port saint john's,-31.6229,29.5448,64.63,89,100,12.33,ZA,1697407367
343,battle creek,42.3212,-85.1797,53.98,28,100,14.18,US,1697407306
344,pijijiapan,15.7011,-93.23,82.81,88,98,2.19,MX,1697407368
345,dourados,-22.2211,-54.8056,80.06,64,89,13.35,BR,1697407308
346,rikaze,29.25,88.8833,39.58,57,47,3.56,CN,1697407368
347,tianfu,37.1936,122.0511,54.59,41,0,8.9,CN,1697407368
348,ende,-8.8432,121.6623,76.77,71,5,1.21,ID,1697407368
349,kolonia,50.9333,6.95,45.97,86,0,1.14,DE,1697407227
350,james city,35.0888,-77.035,60.03,77,92,3.44,US,1697407369
351,faya-largeau,17.9257,19.1043,84.81,21,34,12.68,TD,1697407369
352,muli,2.9167,73.5667,81.93,78,90,15.32,MV,1697407369
353,bangar,16.8936,120.4243,77.07,86,90,4.88,PH,1697407370
354,tomatlan,19.9333,-105.25,87.71,72,79,7.05,MX,1697407370
